numfips,cbsa_f_a,name_cbsa_f_a
72031,41980,"San Juan-Bayamón-Caguas, PR"
72033,41980,"San Juan-Bayamón-Caguas, PR"
72035,41980,"San Juan-Bayamón-Caguas, PR"
72037,41980,"San Juan-Bayamón-Caguas, PR"
72039,41980,"San Juan-Bayamón-Caguas, PR"
72041,41980,"San Juan-Bayamón-Caguas, PR"
72045,41980,"San Juan-Bayamón-Caguas, PR"
72047,41980,"San Juan-Bayamón-Caguas, PR"
72051,41980,"San Juan-Bayamón-Caguas, PR"
72053,41980,"San Juan-Bayamón-Caguas, PR"
72054,41980,"San Juan-Bayamón-Caguas, PR"
72061,41980,"San Juan-Bayamón-Caguas, PR"
72063,41980,"San Juan-Bayamón-Caguas, PR"
72069,41980,"San Juan-Bayamón-Caguas, PR"
72077,41980,"San Juan-Bayamón-Caguas, PR"
72085,41980,"San Juan-Bayamón-Caguas, PR"
72087,41980,"San Juan-Bayamón-Caguas, PR"
72089,41980,"San Juan-Bayamón-Caguas, PR"
72091,41980,"San Juan-Bayamón-Caguas, PR"
72095,41980,"San Juan-Bayamón-Caguas, PR"
72101,41980,"San Juan-Bayamón-Caguas, PR"
72103,41980,"San Juan-Bayamón-Caguas, PR"
72105,41980,"San Juan-Bayamón-Caguas, PR"
72107,41980,"San Juan-Bayamón-Caguas, PR"
72119,41980,"San Juan-Bayamón-Caguas, PR"
72127,41980,"San Juan-Bayamón-Caguas, PR"
72129,41980,"San Juan-Bayamón-Caguas, PR"
72135,41980,"San Juan-Bayamón-Caguas, PR"
72137,41980,"San Juan-Bayamón-Caguas, PR"
72139,41980,"San Juan-Bayamón-Caguas, PR"
72143,41980,"San Juan-Bayamón-Caguas, PR"
72145,41980,"San Juan-Bayamón-Caguas, PR"
72151,41980,"San Juan-Bayamón-Caguas, PR"
6079,42020,"San Luis Obispo-Paso Robles, CA"
6087,42100,"Santa Cruz-Watsonville, CA"
35049,42140,"Santa Fe, NM"
72133,42180,"Santa Isabel, PR"
6083,42200,"Santa Maria-Santa Barbara, CA"
6097,42220,"Santa Rosa-Petaluma, CA"
26033,42300,"Sault Ste. Marie, MI"
13029,42340,"Savannah, GA"
13051,42340,"Savannah, GA"
13103,42340,"Savannah, GA"
42015,42380,"Sayre, PA"
31007,42420,"Scottsbluff, NE"
31157,42420,"Scottsbluff, NE"
31165,42420,"Scottsbluff, NE"
1071,42460,"Scottsboro, AL"
18143,42500,"Scottsburg, IN"
42069,42540,"Scranton--Wilkes-Barre, PA"
42079,42540,"Scranton--Wilkes-Barre, PA"
42131,42540,"Scranton--Wilkes-Barre, PA"
5145,42620,"Searcy, AR"
53033,42660,"Seattle-Tacoma-Bellevue, WA"
53061,42660,"Seattle-Tacoma-Bellevue, WA"
53053,42660,"Seattle-Tacoma-Bellevue, WA"
12061,42680,"Sebastian-Vero Beach, FL"
12055,42700,"Sebring-Avon Park, FL"
29159,42740,"Sedalia, MO"
42109,42780,"Selinsgrove, PA"
1047,42820,"Selma, AL"
45073,42860,"Seneca, SC"
36099,42900,"Seneca Falls, NY"
47155,42940,"Sevierville, TN"
18071,42980,"Seymour, IN"
55078,43020,"Shawano, WI"
55115,43020,"Shawano, WI"
40125,43060,"Shawnee, OK"
55117,43100,"Sheboygan, WI"
37045,43140,"Shelby, NC"
47003,43180,"Shelbyville, TN"
53045,43220,"Shelton, WA"
56033,43260,"Sheridan, WY"
48181,43300,"Sherman-Denison, TX"
4017,43320,"Show Low, AZ"
22015,43340,"Shreveport-Bossier City, LA"
22017,43340,"Shreveport-Bossier City, LA"
22031,43340,"Shreveport-Bossier City, LA"
39149,43380,"Sidney, OH"
4003,43420,"Sierra Vista-Douglas, AZ"
29201,43460,"Sikeston, MO"
35017,43500,"Silver City, NM"
19193,43580,"Sioux City, IA-NE-SD"
31043,43580,"Sioux City, IA-NE-SD"
31051,43580,"Sioux City, IA-NE-SD"
46127,43580,"Sioux City, IA-NE-SD"
46083,43620,"Sioux Falls, SD"
46087,43620,"Sioux Falls, SD"
46099,43620,"Sioux Falls, SD"
46125,43620,"Sioux Falls, SD"
48415,43660,"Snyder, TX"
21199,43700,"Somerset, KY"
42111,43740,"Somerset, PA"
6109,43760,"Sonora, CA"
18141,43780,"South Bend-Mishawaka, IN-MI"
26027,43780,"South Bend-Mishawaka, IN-MI"
45083,43900,"Spartanburg, SC"
46081,43940,"Spearfish, SD"
19041,43980,"Spencer, IA"
19059,44020,"Spirit Lake, IA"
53063,44060,"Spokane-Spokane Valley, WA"
53065,44060,"Spokane-Spokane Valley, WA"
17129,44100,"Springfield, IL"
17167,44100,"Springfield, IL"
25011,44140,"Springfield, MA"
25013,44140,"Springfield, MA"
25015,44140,"Springfield, MA"
29043,44180,"Springfield, MO"
29059,44180,"Springfield, MO"
29077,44180,"Springfield, MO"
29167,44180,"Springfield, MO"
29225,44180,"Springfield, MO"
39023,44220,"Springfield, OH"
28105,44260,"Starkville, MS"
28155,44260,"Starkville, MS"
42027,44300,"State College, PA"
13031,44340,"Statesboro, GA"
51015,44420,"Staunton, VA"
51790,44420,"Staunton, VA"
51820,44420,"Staunton, VA"
8107,44460,"Steamboat Springs, CO"
48143,44500,"Stephenville, TX"
8075,44540,"Sterling, CO"
17195,44580,"Sterling, IL"
55097,44620,"Stevens Point, WI"
40119,44660,"Stillwater, OK"
6077,44700,"Stockton, CA"
19021,44740,"Storm Lake, IA"
26149,44780,"Sturgis, MI"
48223,44860,"Sulphur Springs, TX"
13055,44900,"Summerville, GA"
45027,44940,"Sumter, SC"
45085,44940,"Sumter, SC"
42097,44980,"Sunbury, PA"
6035,45000,"Susanville, CA"
48353,45020,"Sweetwater, TX"
36053,45060,"Syracuse, NY"
36067,45060,"Syracuse, NY"
36075,45060,"Syracuse, NY"
40021,45140,"Tahlequah, OK"
1121,45180,"Talladega-Sylacauga, AL"
12039,45220,"Tallahassee, FL"
12065,45220,"Tallahassee, FL"
12073,45220,"Tallahassee, FL"
12129,45220,"Tallahassee, FL"
12053,45300,"Tampa-St. Petersburg-Clearwater, FL"
12057,45300,"Tampa-St. Petersburg-Clearwater, FL"
12101,45300,"Tampa-St. Petersburg-Clearwater, FL"
12103,45300,"Tampa-St. Petersburg-Clearwater, FL"
35055,45340,"Taos, NM"
17021,45380,"Taylorville, IL"
18021,45460,"Terre Haute, IN"
18121,45460,"Terre Haute, IN"
18153,45460,"Terre Haute, IN"
18165,45460,"Terre Haute, IN"
18167,45460,"Terre Haute, IN"
5081,45500,"Texarkana, TX-AR"
5091,45500,"Texarkana, TX-AR"
48037,45500,"Texarkana, TX-AR"
41065,45520,"The Dalles, OR"
12119,45540,"The Villages, FL"
13293,45580,"Thomaston, GA"
13275,45620,"Thomasville, GA"
39147,45660,"Tiffin, OH"
13277,45700,"Tifton, GA"
13257,45740,"Toccoa, GA"
39051,45780,"Toledo, OH"
39095,45780,"Toledo, OH"
39123,45780,"Toledo, OH"
39173,45780,"Toledo, OH"
20085,45820,"Topeka, KS"
20087,45820,"Topeka, KS"
20139,45820,"Topeka, KS"
20177,45820,"Topeka, KS"
20197,45820,"Topeka, KS"
9005,45860,"Torrington, CT"
26019,45900,"Traverse City, MI"
26055,45900,"Traverse City, MI"
26079,45900,"Traverse City, MI"
26089,45900,"Traverse City, MI"
34021,45940,"Trenton-Princeton, NJ"
1109,45980,"Troy, AL"
6057,46020,"Truckee-Grass Valley, CA"
4019,46060,"Tucson, AZ"
47031,46100,"Tullahoma-Manchester, TN"
47051,46100,"Tullahoma-Manchester, TN"
47127,46100,"Tullahoma-Manchester, TN"
40037,46140,"Tulsa, OK"
40111,46140,"Tulsa, OK"
40113,46140,"Tulsa, OK"
40117,46140,"Tulsa, OK"
40131,46140,"Tulsa, OK"
40143,46140,"Tulsa, OK"
40145,46140,"Tulsa, OK"
28057,46180,"Tupelo, MS"
28081,46180,"Tupelo, MS"
28115,46180,"Tupelo, MS"
28117,46180,"Tupelo, MS"
1063,46220,"Tuscaloosa, AL"
1065,46220,"Tuscaloosa, AL"
1107,46220,"Tuscaloosa, AL"
1125,46220,"Tuscaloosa, AL"
16053,46300,"Twin Falls, ID"
16083,46300,"Twin Falls, ID"
48423,46340,"Tyler, TX"
6045,46380,"Ukiah, CA"
45087,46420,"Union, SC"
47131,46460,"Union City, TN"
39021,46500,"Urbana, OH"
15003,46520,"Urban Honolulu, HI"
36043,46540,"Utica-Rome, NY"
36065,46540,"Utica-Rome, NY"
48463,46620,"Uvalde, TX"
13027,46660,"Valdosta, GA"
13101,46660,"Valdosta, GA"
13173,46660,"Valdosta, GA"
13185,46660,"Valdosta, GA"
6095,46700,"Vallejo, CA"
39161,46780,"Van Wert, OH"
46027,46820,"Vermillion, SD"
49047,46860,"Vernal, UT"
48487,46900,"Vernon, TX"
28149,46980,"Vicksburg, MS"
48175,47020,"Victoria, TX"
48469,47020,"Victoria, TX"
13209,47080,"Vidalia, GA"
13279,47080,"Vidalia, GA"
18083,47180,"Vincennes, IN"
34011,47220,"Vineland-Bridgeton, NJ"
25007,47240,"Vineyard Haven, MA"
37029,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
37053,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
37073,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51073,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51093,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51095,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51115,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51175,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51199,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51550,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51620,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51650,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51700,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51710,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51735,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51740,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51800,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51810,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
51830,47260,"Virginia Beach-Norfolk-Newport News, VA-NC"
6107,47300,"Visalia, CA"
18169,47340,"Wabash, IN"
48145,47380,"Waco, TX"
48309,47380,"Waco, TX"
27167,47420,"Wahpeton, ND-MN"
38077,47420,"Wahpeton, ND-MN"
53071,47460,"Walla Walla, WA"
39011,47540,"Wapakoneta, OH"
13153,47580,"Warner Robins, GA"
13225,47580,"Warner Robins, GA"
42123,47620,"Warren, PA"
29101,47660,"Warrensburg, MO"
18085,47700,"Warsaw, IN"
18027,47780,"Washington, IN"
37013,47820,"Washington, NC"
24021,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
24031,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
11001,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
24009,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
24017,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
24033,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51013,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51043,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51047,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51059,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51061,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51107,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51113,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51153,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51157,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51177,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51179,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51187,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51510,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51600,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51610,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51630,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51683,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
51685,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
54037,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV"
39047,47920,"Washington Court House, OH"
19013,47940,"Waterloo-Cedar Falls, IA"
19017,47940,"Waterloo-Cedar Falls, IA"
19075,47940,"Waterloo-Cedar Falls, IA"
46029,47980,"Watertown, SD"
46057,47980,"Watertown, SD"
55055,48020,"Watertown-Fort Atkinson, WI"
36045,48060,"Watertown-Fort Drum, NY"
12049,48100,"Wauchula, FL"
55069,48140,"Wausau-Weston, WI"
55073,48140,"Wausau-Weston, WI"
13229,48180,"Waycross, GA"
13299,48180,"Waycross, GA"
40039,48220,"Weatherford, OK"
39081,48260,"Weirton-Steubenville, WV-OH"
54009,48260,"Weirton-Steubenville, WV-OH"
54029,48260,"Weirton-Steubenville, WV-OH"
53007,48300,"Wenatchee, WA"
53017,48300,"Wenatchee, WA"
29091,48460,"West Plains, MO"
28025,48500,"West Point, MS"
39013,48540,"Wheeling, WV-OH"
54051,48540,"Wheeling, WV-OH"
54069,48540,"Wheeling, WV-OH"
55127,48580,"Whitewater, WI"
20015,48620,"Wichita, KS"
20079,48620,"Wichita, KS"
20173,48620,"Wichita, KS"
20191,48620,"Wichita, KS"
48009,48660,"Wichita Falls, TX"
48077,48660,"Wichita Falls, TX"
48485,48660,"Wichita Falls, TX"
42081,48700,"Williamsport, PA"
38105,48780,"Williston, ND"
27067,48820,"Willmar, MN"
37129,48900,"Wilmington, NC"
37141,48900,"Wilmington, NC"
39027,48940,"Wilmington, OH"
37195,48980,"Wilson, NC"
51069,49020,"Winchester, VA-WV"
51840,49020,"Winchester, VA-WV"
54027,49020,"Winchester, VA-WV"
20035,49060,"Winfield, KS"
32013,49080,"Winnemucca, NV"
27169,49100,"Winona, MN"
37057,49180,"Winston-Salem, NC"
37059,49180,"Winston-Salem, NC"
37067,49180,"Winston-Salem, NC"
37169,49180,"Winston-Salem, NC"
37197,49180,"Winston-Salem, NC"
55141,49220,"Wisconsin Rapids-Marshfield, WI"
40045,49260,"Woodward, OK"
40153,49260,"Woodward, OK"
39169,49300,"Wooster, OH"
9015,49340,"Worcester, MA-CT"
25027,49340,"Worcester, MA-CT"
27105,49380,"Worthington, MN"
53077,49420,"Yakima, WA"
46135,49460,"Yankton, SD"
72055,49500,"Yauco, PR"
72059,49500,"Yauco, PR"
72111,49500,"Yauco, PR"
72153,49500,"Yauco, PR"
42133,49620,"York-Hanover, PA"
39099,49660,"Youngstown-Warren-Boardman, OH-PA"
39155,49660,"Youngstown-Warren-Boardman, OH-PA"
42085,49660,"Youngstown-Warren-Boardman, OH-PA"
6101,49700,"Yuba City, CA"
6115,49700,"Yuba City, CA"
4027,49740,"Yuma, AZ"
39119,49780,"Zanesville, OH"
48505,49820,"Zapata, TX"
